"Date","Price","Open","High","Low","Vol.","Change %"
"01/22/2021","1,105.41","1,099.97","1,107.29","1,098.95","","0.50%"
"01/21/2021","1,099.88","1,097.35","1,102.67","1,096.59","","0.32%"
"01/20/2021","1,096.35","1,102.44","1,103.39","1,096.88","","-0.46%"
"01/19/2021","1,101.44","1,104.18","1,106.17","1,100.20","","-0.10%"
"01/18/2021","1,102.52","1,104.26","1,108.42","1,102.28","","-0.07%"
"01/15/2021","1,103.27","1,096.04","1,105.33","1,094.93","","0.67%"
"01/14/2021","1,095.88","1,098.11","1,103.42","1,093.93","","-0.11%"
"01/13/2021","1,097.12","1,094.60","1,099.33","1,092.37","","0.24%"
"01/12/2021","1,094.48","1,097.38","1,103.46","1,092.97","","-0.25%"
"01/11/2021","1,097.23","1,093.01","1,101.05","1,092.73","","0.39%"
"01/08/2021","1,092.93","1,094.35","1,099.21","1,088.79","","-0.12%"
"01/07/2021","1,094.28","1,088.03","1,096.78","1,085.42","","0.58%"
"01/06/2021","1,087.93","1,087.40","1,089.79","1,083.91","","0.14%"
"01/05/2021","1,086.42","1,086.69","1,090.33","1,082.04","","-0.01%"
"01/04/2021","1,086.48","1,085.73","1,088.30","1,080.02","","0.16%"
"01/01/2021","1,084.73","1,085.69","1,086.10","1,085.25","","0.02%"
"12/31/2020","1,084.47","1,088.43","1,090.35","1,082.97","","-0.29%"
"12/30/2020","1,087.62","1,091.97","1,093.92","1,084.52","","-0.31%"
"12/29/2020","1,090.97","1,097.30","1,098.57","1,090.63","","-0.42%"
"12/28/2020","1,095.60","1,100.08","1,103.55","1,093.51","","-0.32%"
"12/25/2020","1,099.07","1,102.66","1,102.81","1,100.03","","-0.23%"
"12/24/2020","1,101.59","1,106.87","1,107.47","1,100.48","","-0.46%"
"12/23/2020","1,106.65","1,109.94","1,111.05","1,104.68","","-0.28%"
"12/22/2020","1,109.72","1,104.31","1,111.05","1,102.46","","0.65%"
"12/21/2020","1,102.55","1,099.48","1,112.74","1,097.94","","0.29%"
"12/18/2020","1,099.39","1,094.01","1,100.78","1,092.34","","0.58%"
"12/17/2020","1,093.01","1,094.12","1,095.43","1,090.27","","0.06%"
"12/16/2020","1,092.36","1,089.56","1,096.55","1,088.05","","0.27%"
"12/15/2020","1,089.43","1,093.32","1,096.14","1,088.49","","-0.33%"
"12/14/2020","1,093.07","1,091.80","1,094.91","1,088.85","","0.13%"
"12/11/2020","1,091.67","1,087.34","1,094.56","1,085.27","","0.56%"
"12/10/2020","1,085.55","1,087.38","1,091.93","1,084.12","","-0.09%"
"12/09/2020","1,086.48","1,085.79","1,088.97","1,080.82","","0.15%"
"12/08/2020","1,084.86","1,084.53","1,087.79","1,082.49","","0.12%"
"12/07/2020","1,083.53","1,083.87","1,088.35","1,080.39","","-0.02%"
"12/04/2020","1,083.77","1,092.20","1,093.71","1,080.57","","-0.76%"
"12/03/2020","1,092.08","1,100.16","1,101.91","1,089.70","","-0.72%"
"12/02/2020","1,100.02","1,106.23","1,107.01","1,099.22","","-0.52%"
